Estado,Año,Código,Dependencia,Aprobado,Devengado,Observaciones
Michoacan,2021,CA64,"INSTITUTO MICHOACANO DE TRANSPARENCIA, ACCESO A LA INFORMACIÓN Y PROTECCIÓN DE DATOS PERSONALES",33220600.00,33220600.00,x
Michoacan,2021,CA65,INSTITUTO DE PLANEACIÓN DEL ESTADO DE MICHOACÁN,51025117.00,50763092.34,x
Michoacan,2021,CA66,COMISIÓN ESTATAL DEL AGUA Y GESTIÓN DE CUENCAS,236073321.00,373052456.97,x
Michoacan,2021,CA67,COMITÉ DE ADQUISICIONES DEL PODER EJECUTIVO,23418414.00,23723810.59,x
Michoacan,2021,CA68,"UNIVERSIDAD POLITÉCNICA DE URUAPAN, MICHOACÁN",8603614.00,9912095.00,x
Michoacan,2021,CA69,"UNIVERSIDAD POLITÉCNICA DE LÁZARO CÁRDENAS, MICHOACÁN",8075614.00,9766626.99,x
Michoacan,2021,CA70,INSTITUTO DE DEFENSORÍA PÚBLICA DEL ESTADO DE MICHOACÁN,101537142.00,92723737.70,x
Michoacan,2021,CA71,INSTITUTO ESTATAL DE ESTUDIOS SUPERIORES EN SEGURIDAD Y PROFESIONALIZACIÓN POLICIAL DEL ESTADO DE MICHOACÁN,35320352.00,30340377.61,x
Michoacan,2021,CA72,COMISIÓN EJECUTIVA ESTATAL DE ATENCIÓN A VÍCTIMAS,49957432.00,41479611.16,x
Michoacan,2021,CA73,CENTRO ESTATAL DE FOMENTO GANADERO DEL ESTADO DE MICHOACÁN DE OCAMPO,43732487.00,14260033.60,x
Michoacan,2021,CA74,RÉGIMEN ESTATAL DE PROTECCIÓN SOCIAL EN SALUD DE MICHOACÁN DE OCAMPO,0.00,0.00,x
Michoacan,2021,CA75,FIDEICOMISO DE PARQUES INDUSTRIALES DE MICHOACÁN,0.00,0.00,x
Michoacan,2021,CA76,SISTEMA INTEGRAL DE FINANCIAMIENTO PARA EL DESARROLLO DE MICHOACÁN,92282963.00,85162990.30,x
Michoacan,2021,CA77,INSTITUTO DE LA JUVENTUD MICHOACANA,32336831.00,27801626.69,x
Michoacan,2021,CA78,SECRETARÍA DE IGUALDAD SUSTANTIVA Y DESARROLLO DE LAS MUJERES MICHOACANAS,64586826.00,62575993.29,x
Michoacan,2021,CA79,"INSTITUTO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN DEL ESTADO DE MICHOACÁN",9091760.00,7186125.48,x
Michoacan,2021,CA80,"SECRETARÍA EJECUTIVA DEL SISTEMA ESTATAL DE PROTECCIÓN INTEGRAL DE NIÑAS, NIÑOS Y ADOLESCENTES DEL ESTADO DE MICHOACÁN",7654514.00,3578229.20,x
Michoacan,2021,CA81,CONSEJO ESTATAL PARA PREVENIR Y ELIMINAR LA DISCRIMINACIÓN Y LA VIOLENCIA,9711059.00,8241285.22,x
Michoacan,2021,CA82,COORDINACIÓN DEL SISTEMA PENITENCIARIO DEL ESTADO DE MICHOACÁN DE OCAMPO,1374886394.00,1391240019.67,x
Michoacan,2021,CA83,UNIVERSIDAD TECNOLÓGICA DEL ORIENTE DE MICHOACÁN,8031776.00,8442710.00,x
Michoacan,2021,CA84,SECRETARÍA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCIÓN,20828103.00,20828103.00,x
Michoacan,2021,CA85,CASA DEL ADULTO MAYOR,3844077.00,2561853.60,x
Michoacan,2021,CA86,INSTITUTO REGISTRAL Y CATASTRAL DEL ESTADO DE MICHOACAN DE OCAMPO,0.00,122588920.86,x
Michoacan,2021,CA11,FISCALÍA GENERAL DEL ESTADO DE MICHOACÁN,1519249998.00,1519249998.00,x
Michoacan,2021,CA88,AUDITORIA SUPERIOR DE MICHOACAN,162585432.00,162585432.00,x
Michoacan,2021,CATOT,TOTAL DEL GASTO,75616545244.00,83858660346.38,x
Morelos ,2018,CA1,JEFATURA DE LA OFICINA DE LA GUBERNATURA DEL ESTADO,189128000.00,370372887.00,x
Morelos ,2018,CA2,SECRETARÍA DE GOBIERNO,381619000.00,406611331.00,x
Morelos ,2018,CA3,SECRETARÍA DE HACIENDA,992217000.00,3507902248.00,x
Morelos ,2018,CA4,SECRETARÍA DE DESARROLLO ECONÓMICO Y DEL TRABAJO,101582000.00,20741622.00,x
Morelos ,2018,CA5,SECRETARÍA DE DESARROLLO AGROPECUARIO,120122000.00,124526946.00,x
Morelos ,2018,CA6,SECRETARÍA DE OBRAS PÚBLICAS,138367000.00,1700393278.00,x
Morelos ,2018,CA7,SECRETARÍA DE EDUCACIÓN,382135000.00,142864899.00,x
Morelos ,2018,CA8,SECRETARÍA DE SALUD,20325000.00,19733979.00,x
Morelos ,2018,CA9,FISCALÍA GENERAL DEL ESTADO,370330000.00,268895228.00,x
Morelos ,2018,CA10,SECRETARÍA DE ADMINISTRACIÓN,96500000.00,850897554.00,x
Morelos ,2018,CA11,SECRETARÍA DE LA CONTRALORÍA,24174000.00,48096487.00,x
Morelos ,2018,CA12,COMISIÓN ESTATAL DE SEGURIDAD PÚBLICA,905871000.00,1027644976.00,x
Morelos ,2018,CA13,CONSEJERÍA JURÍDICA,22874000.00,27087438.00,x
Morelos ,2018,CA14,SECRETARÍA DE TURISMO Y CULTURA,0.00,0.00,x
Morelos ,2018,CA15,SECRETARÍA DE TURISMO,36482000.00,20389290.00,x
Morelos ,2018,CA16,SECRETARÍA DE CULTURA,88895000.00,114547796.00,x
Morelos ,2018,CA17,SECRETARÍA DE DESARROLLO SOCIAL,104047000.00,136708063.00,x
Morelos ,2018,CA18,SECRETARÍA DEL TRABAJO,86225000.00,79259492.00,x
Morelos ,2018,CA19,SECRETARÍA DE DESARROLLO SUSTENTABLE,54662000.00,82496293.00,x
Morelos ,2018,CA20,"SECRETARÍA DE INNOVACIÓN, CIENCIA Y TEC.",23226000.00,26184253.00,x
Morelos ,2018,CA21,SECRETARÍA DE MOVILIDAD Y TRANSPORTE,47981000.00,52509122.00,x
Morelos ,2018,CA22,GASTOS INSTITUCIONALES,1566147000.00,324793281.00,x
Morelos ,2018,CA23,PODER LEGISLATIVO,418500000.00,427500000.00,x
Morelos ,2018,CA24,PODER JUDICIAL,645045000.00,713989586.00,x
Morelos ,2018,CA25,PODER EJECUTIVO DE LOS MUNICIPIOS,3973243000.00,5185422973.00,x
Morelos ,2018,CA26,ORGANISMOS AUTÓNOMOS,2079938000.00,3120413158.00,x
Morelos ,2018,CA27,ENTIDADES PARAESTATALES Y FIDEICOMISOS NO EMPRESARIALES Y NO FINANCIEROS,9922433000.00,14042194340.00,x
Morelos ,2018,CA28,INSTITUCIONES PÚBLICAS DE LA SEGURIDAD SOCIAL,0.00,0.00,x
Morelos ,2018,CA29,ENTIDADES PARAESTATALES EMPRESARIALES NO FINANCIERAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2018,CA30,FIDEICOMISOS EMPRESARIALES NO FINANCIEROS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2018,CA31,ENTIDADES PARAESTATALES EMPRESARIALES FINANCIERAS MONETARIAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2018,CA32,ENTIDADES PARAESTATALES EMPRESARIALES FINANCIERAS NO MONETARIAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2018,CA33,FIDEICOMISOS FINANCIEROS PÚBLICOS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2018,CATOT,TOTAL DEL GASTO,22792068000.00,32842176520.00,x
Morelos ,2019,CA1,JEFATURA DE LA OFICINA DE LA GUBERNATURA DEL ESTADO,189128000.00,260459871.00,x
Morelos ,2019,CA2,SECRETARÍA DE GOBIERNO,65917000.00,83731458.00,x
Morelos ,2019,CA3,SECRETARÍA DE HACIENDA,992218000.00,1241356084.00,x
Morelos ,2019,CA4,SECRETARÍA DE DESARROLLO ECONÓMICO Y DEL TRABAJO,84807000.00,104345861.00,x
Morelos ,2019,CA5,SECRETARÍA DE DESARROLLO AGROPECUARIO,120122000.00,131290281.00,x
Morelos ,2019,CA6,SECRETARÍA DE OBRAS PÚBLICAS,43367000.00,1082093280.00,x
Morelos ,2019,CA7,SECRETARÍA DE EDUCACIÓN,382135000.00,34265367.00,x
Morelos ,2019,CA8,SECRETARÍA DE SALUD,20325000.00,18189385.00,x
Morelos ,2019,CA9,FISCALÍA GENERAL DEL ESTADO,0.00,0.00,x
Morelos ,2019,CA10,SECRETARÍA DE ADMINISTRACIÓN,96500000.00,924342085.00,x
Morelos ,2019,CA11,SECRETARÍA DE LA CONTRALORÍA,24174000.00,47841924.00,x
Morelos ,2019,CA12,COMISIÓN ESTATAL DE SEGURIDAD PÚBLICA,1206231000.00,1293625276.00,x
Morelos ,2019,CA13,CONSEJERÍA JURÍDICA,22874000.00,26774235.00,x
Morelos ,2019,CA14,SECRETARÍA DE TURISMO Y CULTURA,115077000.00,121972702.00,x
Morelos ,2019,CA15,SECRETARÍA DE TURISMO,0.00,0.00,x
Morelos ,2019,CA16,SECRETARÍA DE CULTURA,0.00,0.00,x
Morelos ,2019,CA17,SECRETARÍA DE DESARROLLO SOCIAL,104047000.00,141078089.00,x
Morelos ,2019,CA18,SECRETARÍA DEL TRABAJO,0.00,0.00,x
Morelos ,2019,CA19,SECRETARÍA DE DESARROLLO SUSTENTABLE,54662000.00,65780517.00,x
Morelos ,2019,CA20,"SECRETARÍA DE INNOVACIÓN, CIENCIA Y TEC.",0.00,0.00,x
Morelos ,2019,CA21,SECRETARÍA DE MOVILIDAD Y TRANSPORTE,47981000.00,465675534.00,x
Morelos ,2019,CA22,GASTOS INSTITUCIONALES,1650165000.00,96205382.00,x
Morelos ,2019,CA23,PODER LEGISLATIVO,418500000.00,468500000.00,x
Morelos ,2019,CA24,PODER JUDICIAL,651545000.00,626074068.00,x
Morelos ,2019,CA25,PODER EJECUTIVO DE LOS MUNICIPIOS,3973243000.00,5338202794.00,x
Morelos ,2019,CA26,ORGANISMOS AUTÓNOMOS,2655828000.00,3348806138.00,x
Morelos ,2019,CA27,ENTIDADES PARAESTATALES Y FIDEICOMISOS NO EMPRESARIALES Y NO FINANCIEROS,9873222000.00,15278519987.00,x
Morelos ,2019,CA28,INSTITUCIONES PÚBLICAS DE LA SEGURIDAD SOCIAL,0.00,0.00,x
Morelos ,2019,CA29,ENTIDADES PARAESTATALES EMPRESARIALES NO FINANCIERAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2019,CA30,FIDEICOMISOS EMPRESARIALES NO FINANCIEROS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2019,CA31,ENTIDADES PARAESTATALES EMPRESARIALES FINANCIERAS MONETARIAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2019,CA32,ENTIDADES PARAESTATALES EMPRESARIALES FINANCIERAS NO MONETARIAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2019,CA33,FIDEICOMISOS FINANCIEROS PÚBLICOS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2019,CATOT,TOTAL DEL GASTO,22792068000.00,31199130318.00,x
Morelos ,2020,CA1,JEFATURA DE LA OFICINA DE LA GUBERNATURA DEL ESTADO,191607500.00,214644642.00,x
Morelos ,2020,CA2,SECRETARÍA DE GOBIERNO,84249897.00,84149519.00,x
Morelos ,2020,CA3,SECRETARÍA DE HACIENDA,1737709303.00,1051255339.00,x
Morelos ,2020,CA4,SECRETARÍA DE DESARROLLO ECONÓMICO Y DEL TRABAJO,101501392.00,125655070.00,x
Morelos ,2020,CA5,SECRETARÍA DE DESARROLLO AGROPECUARIO,128942429.00,102858256.00,x
Morelos ,2020,CA6,SECRETARÍA DE OBRAS PÚBLICAS,201628000.00,440179252.00,x
Morelos ,2020,CA7,SECRETARÍA DE EDUCACIÓN,285733499.00,31669003.00,x
Morelos ,2020,CA8,SECRETARÍA DE SALUD,20010972.00,18545875.00,x
Morelos ,2020,CA9,FISCALÍA GENERAL DEL ESTADO,0.00,0.00,x
Morelos ,2020,CA10,SECRETARÍA DE ADMINISTRACIÓN,117949303.00,979990656.00,x
Morelos ,2020,CA11,SECRETARÍA DE LA CONTRALORÍA,42184000.00,48515142.00,x
Morelos ,2020,CA12,COMISIÓN ESTATAL DE SEGURIDAD PÚBLICA,1346789877.00,1474077824.00,x
Morelos ,2020,CA13,CONSEJERÍA JURÍDICA,30253500.00,25453263.00,x
Morelos ,2020,CA14,SECRETARÍA DE TURISMO Y CULTURA,102518021.00,96187560.00,x
Morelos ,2020,CA15,SECRETARÍA DE TURISMO,0.00,0.00,x
Morelos ,2020,CA16,SECRETARÍA DE CULTURA,0.00,0.00,x
Morelos ,2020,CA17,SECRETARÍA DE DESARROLLO SOCIAL,178844829.00,67377063.00,x
Morelos ,2020,CA18,SECRETARÍA DEL TRABAJO,0.00,0.00,x
Morelos ,2020,CA19,SECRETARÍA DE DESARROLLO SUSTENTABLE,85363500.00,61462362.00,x
Morelos ,2020,CA20,"SECRETARÍA DE INNOVACIÓN, CIENCIA Y TEC.",0.00,0.00,x
Morelos ,2020,CA21,SECRETARÍA DE MOVILIDAD Y TRANSPORTE,148699722.00,117324022.00,x
Morelos ,2020,CA22,GASTOS INSTITUCIONALES,1419629256.00,97930765.00,x
Morelos ,2020,CA23,PODER LEGISLATIVO,433500000.00,427240908.00,x
Morelos ,2020,CA24,PODER JUDICIAL,618559000.00,676872170.00,x
Morelos ,2020,CA25,PODER EJECUTIVO DE LOS MUNICIPIOS,5420742000.00,5392395871.00,x
Morelos ,2020,CA26,ORGANISMOS AUTÓNOMOS,1692969000.00,3133345037.00,x
Morelos ,2020,CA27,ENTIDADES PARAESTATALES Y FIDEICOMISOS NO EMPRESARIALES Y NO FINANCIEROS,12411669000.00,15948698104.00,x
Morelos ,2020,CA28,INSTITUCIONES PÚBLICAS DE LA SEGURIDAD SOCIAL,0.00,0.00,x
Morelos ,2020,CA29,ENTIDADES PARAESTATALES EMPRESARIALES NO FINANCIERAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2020,CA30,FIDEICOMISOS EMPRESARIALES NO FINANCIEROS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2020,CA31,ENTIDADES PARAESTATALES EMPRESARIALES FINANCIERAS MONETARIAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2020,CA32,ENTIDADES PARAESTATALES EMPRESARIALES FINANCIERAS NO MONETARIAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2020,CA33,FIDEICOMISOS FINANCIEROS PÚBLICOS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2020,CATOT,TOTAL DEL GASTO,26801054000.00,30615827703.00,x
Morelos ,2021,CA1,JEFATURA DE LA OFICINA DE LA GUBERNATURA DEL ESTADO,141607499.00,272567032.00,x
Morelos ,2021,CA2,SECRETARÍA DE GOBIERNO,99425767.00,100882740.00,x
Morelos ,2021,CA3,SECRETARÍA DE HACIENDA,1604748839.00,7590430617.00,x
Morelos ,2021,CA4,SECRETARÍA DE DESARROLLO ECONÓMICO Y DEL TRABAJO,87956866.00,135618563.00,x
Morelos ,2021,CA5,SECRETARÍA DE DESARROLLO AGROPECUARIO,74142429.00,75800954.00,x
Morelos ,2021,CA6,SECRETARÍA DE OBRAS PÚBLICAS,98627999.00,483217523.00,x
Morelos ,2021,CA7,SECRETARÍA DE EDUCACIÓN,254432402.00,34077150.00,x
Morelos ,2021,CA8,SECRETARÍA DE SALUD,50010971.00,18159026.00,x
Morelos ,2021,CA9,FISCALÍA GENERAL DEL ESTADO,0.00,0.00,x
Morelos ,2021,CA10,SECRETARÍA DE ADMINISTRACIÓN,112234203.00,660913919.00,x
Morelos ,2021,CA11,SECRETARÍA DE LA CONTRALORÍA,42183999.00,50961941.00,x
Morelos ,2021,CA12,COMISIÓN ESTATAL DE SEGURIDAD PÚBLICA,1345617177.00,1612129782.00,x
Morelos ,2021,CA13,CONSEJERÍA JURÍDICA,33719204.00,27979417.00,x
Morelos ,2021,CA14,SECRETARÍA DE TURISMO Y CULTURA,98286358.00,93554921.00,x
Morelos ,2021,CA15,SECRETARÍA DE TURISMO,0.00,0.00,x
Morelos ,2021,CA16,SECRETARÍA DE CULTURA,0.00,0.00,x
Morelos ,2021,CA17,SECRETARÍA DE DESARROLLO SOCIAL,178856190.00,45093248.00,x
Morelos ,2021,CA18,SECRETARÍA DEL TRABAJO,0.00,0.00,x
Morelos ,2021,CA19,SECRETARÍA DE DESARROLLO SUSTENTABLE,131363499.00,87269324.00,x
Morelos ,2021,CA20,"SECRETARÍA DE INNOVACIÓN, CIENCIA Y TEC.",0.00,0.00,x
Morelos ,2021,CA21,SECRETARÍA DE MOVILIDAD Y TRANSPORTE,96615721.00,95035892.00,x
Morelos ,2021,CA22,GASTOS INSTITUCIONALES,1424588397.00,94839082.00,x
Morelos ,2021,CA23,PODER LEGISLATIVO,433500000.00,433503387.00,x
Morelos ,2021,CA24,PODER JUDICIAL,623559001.00,822648666.00,x
Morelos ,2021,CA25,PODER EJECUTIVO DE LOS MUNICIPIOS,5363262397.00,5430875942.00,x
Morelos ,2021,CA26,ORGANISMOS AUTÓNOMOS,1744697863.00,3427392980.00,x
Morelos ,2021,CA27,ENTIDADES PARAESTATALES Y FIDEICOMISOS NO EMPRESARIALES Y NO FINANCIEROS,13105355190.00,16647440566.00,x
Morelos ,2021,CA28,INSTITUCIONES PÚBLICAS DE LA SEGURIDAD SOCIAL,0.00,0.00,x
Morelos ,2021,CA29,ENTIDADES PARAESTATALES EMPRESARIALES NO FINANCIERAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2021,CA30,FIDEICOMISOS EMPRESARIALES NO FINANCIEROS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2021,CA31,ENTIDADES PARAESTATALES EMPRESARIALES FINANCIERAS MONETARIAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2021,CA32,ENTIDADES PARAESTATALES EMPRESARIALES FINANCIERAS NO MONETARIAS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2021,CA33,FIDEICOMISOS FINANCIEROS PÚBLICOS CON PARTICIPACIÓN ESTATAL MAYORITARIA,0.00,0.00,x
Morelos ,2021,CATOT,TOTAL DEL GASTO,27144791971.00,38240392672.00,x
Tamaulipas,2018,CA1,HONORABLE CONGRESO DEL ESTADO,238087521.54,276574905.57,x
Tamaulipas,2018,CA2,HONORABLE SUPREMO TRIBUNAL DE JUSTICIA,747878384.43,931734073.59,x
Tamaulipas,2018,CA3,OFICINA DEL C. GOBERNADOR,200318923.68,230086697.54,x
Tamaulipas,2018,CA4,SECRETARIA GENERAL DE GOBIERNO,647914995.23,1576932421.52,x
Tamaulipas,2018,CA5,SECRETARIA DE FINANZAS,1630875710.70,13502571370.42,x
Tamaulipas,2018,CA6,SECRETARIA DE ADMINISTRACION,634640720.42,1116636721.81,x
Tamaulipas,2018,CA7,SECRETARIA DE DESARROLLO ECONOMICO,98153730.19,242651297.41,x
Tamaulipas,2018,CA8,SECRETARIA DEL TRABAJO,127247918.54,154732551.41,x
Tamaulipas,2018,CA9,SECRETARIA DE DESARROLLO RURAL,104717756.38,416912794.19,x
Tamaulipas,2018,CA10,SECRETARIA DE BIENESTAR SOCIAL,192966848.04,1282114252.59,x
Tamaulipas,2018,CA11,SECRETARIA DE EDUCACION,16888916245.41,18135174478.85,x
Tamaulipas,2018,CA12,SEC. DESARROLLO URBANO Y MEDIO AMBIENTE,88179910.40,220765634.54,x
Tamaulipas,2018,CA13,SECRETARIA DE OBRAS PUBLICAS,5671259326.96,4614768389.59,x
Tamaulipas,2018,CA14,SECRETARIA DE SEGURIDAD PUBLICA,1993247265.42,3185434617.66,x
Tamaulipas,2018,CA15,PROCURADURIA GENERAL DE JUSTICIA,1179901487.43,1257455249.26,x
Tamaulipas,2018,CA16,CONTRALORIA GUBERNAMENTAL,137890256.80,205467645.71,x
Tamaulipas,2018,CA17,COORDINACION DE COMUNICACION SOCIAL,79704370.93,740614527.85,x
Tamaulipas,2018,CA18,COORD. DE ASESORES DEL EJECUTIVO,36430134.00,25225891.85,x
Tamaulipas,2018,CA19,SECRETARIA DE TURISMO,42075485.73,109543394.07,x
Tamaulipas,2018,CA20,SECRETARIA DE PESCA Y ACUACULTURA,42482047.27,48793541.41,x
Tamaulipas,2018,CA21,TRIBUNAL FISCAL DEL ESTADO,0.00,294521.39,x
Tamaulipas,2018,CA15,FISCALÍA GENERAL DE JUSTICIA,0.00,0.00,x
Tamaulipas,2018,CA22,TRIBUNAL DE ARBITRAJE,8856901.06,9827325.34,x
Tamaulipas,2018,CA23,GASTOS GENERALES DE OPERACION,673981065.25,135317791.24,x
Tamaulipas,2018,CA24,ORGANISMOS PUBLICOS DESCENTRALIZADOS,7594365905.00,12913527645.47,x
Tamaulipas,2018,CA25,"FONDOS, PARTICIPACIONES Y SUBSIDIOS MUNICIPALES",7693031470.99,8580318495.87,x
Tamaulipas,2018,CA26,FIDEICOMISOS,0.00,1665418.66,x
Tamaulipas,2018,CA27,INSTITUTO ELECTORAL DE TAMAULIPAS,218735397.68,503508349.91,x
Tamaulipas,2018,CA28,COMISION ESTATAL DE DERECHOS HUMANOS,28185346.67,29561640.98,x
Tamaulipas,2018,CA29,INST. DE TRANSPARENCIA Y ACCESO A LA INFORM.,15530394.63,20347788.36,x
Tamaulipas,2018,CA30,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,2754881132.00,3216558319.33,x
Tamaulipas,2018,CA31,TRIBUNAL ELECTORAL DEL ESTADO DE TAMAULIPAS,33092156.25,40346818.52,x
Tamaulipas,2018,CA32,TRIBUNAL DE JUSTICIA ADMINISTRATIVA,22617756.72,29833933.05,x
Tamaulipas,2018,CA33,EMPRESAS DE PARTICIPACION ESTATAL MAYORITARIAS,32392396.45,52045058.08,x
Tamaulipas,2018,CATOT,TOTAL DEL GASTO,49858558962.20,73807343563.04,x
Tamaulipas,2019,CA1,HONORABLE CONGRESO DEL ESTADO,240975672.26,322105524.00,x
Tamaulipas,2019,CA2,HONORABLE SUPREMO TRIBUNAL DE JUSTICIA,824000978.27,950024777.11,x
Tamaulipas,2019,CA3,OFICINA DEL C. GOBERNADOR,172695894.64,246011713.05,x
Tamaulipas,2019,CA4,SECRETARIA GENERAL DE GOBIERNO,722040938.29,1510047199.09,x
Tamaulipas,2019,CA5,SECRETARIA DE FINANZAS,2780674447.46,3241031147.21,x
Tamaulipas,2019,CA6,SECRETARIA DE ADMINISTRACION,702927839.57,1736141523.91,x
Tamaulipas,2019,CA7,SECRETARIA DE DESARROLLO ECONOMICO,95985614.05,172301176.77,x
Tamaulipas,2019,CA8,SECRETARIA DEL TRABAJO,153835502.09,150805515.98,x
Tamaulipas,2019,CA9,SECRETARIA DE DESARROLLO RURAL,104072723.78,356206127.82,x
Tamaulipas,2019,CA10,SECRETARIA DE BIENESTAR SOCIAL,187956628.21,978478995.52,x
Tamaulipas,2019,CA11,SECRETARIA DE EDUCACION,17729208443.25,19133029139.69,x
Tamaulipas,2019,CA12,SEC. DESARROLLO URBANO Y MEDIO AMBIENTE,91613558.08,223511618.60,x
Tamaulipas,2019,CA13,SECRETARIA DE OBRAS PUBLICAS,6390383152.47,3836544705.46,x
Tamaulipas,2019,CA14,SECRETARIA DE SEGURIDAD PUBLICA,2468079823.88,3630670154.79,x
Tamaulipas,2019,CA15,PROCURADURIA GENERAL DE JUSTICIA,1259741474.66,1251115357.41,x
Tamaulipas,2019,CA16,CONTRALORIA GUBERNAMENTAL,154519555.11,192158079.55,x
Tamaulipas,2019,CA17,COORDINACION DE COMUNICACION SOCIAL,69982312.38,752768573.78,x
Tamaulipas,2019,CA18,COORD. DE ASESORES DEL EJECUTIVO,27413805.71,19595860.92,x
Tamaulipas,2019,CA19,SECRETARIA DE TURISMO,38157276.80,106507093.67,x
Tamaulipas,2019,CA20,SECRETARIA DE PESCA Y ACUACULTURA,39309347.30,53492962.45,x
Tamaulipas,2019,CA21,TRIBUNAL FISCAL DEL ESTADO,0.00,0.00,x
Tamaulipas,2019,CA15,FISCALÍA GENERAL DE JUSTICIA,0.00,0.00,x
Tamaulipas,2019,CA22,TRIBUNAL DE ARBITRAJE,9391744.06,11037921.59,x
Tamaulipas,2019,CA23,GASTOS GENERALES DE OPERACION,890324003.06,155806402.17,x
Tamaulipas,2019,CA24,ORGANISMOS PUBLICOS DESCENTRALIZADOS,7881954254.22,12730487073.61,x
Tamaulipas,2019,CA25,"FONDOS, PARTICIPACIONES Y SUBSIDIOS MUNICIPALES",8469151750.34,9307331532.96,x
Tamaulipas,2019,CA26,FIDEICOMISOS,0.00,708232524.96,x
Tamaulipas,2019,CA27,INSTITUTO ELECTORAL DE TAMAULIPAS,445819069.00,468144449.81,x
Tamaulipas,2019,CA28,COMISION ESTATAL DE DERECHOS HUMANOS,28724828.46,30153405.73,x
Tamaulipas,2019,CA29,INST. DE TRANSPARENCIA Y ACCESO A LA INFORM.,15866567.03,18854704.71,x
Tamaulipas,2019,CA30,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,2819256741.00,3368432718.02,x
Tamaulipas,2019,CA31,TRIBUNAL ELECTORAL DEL ESTADO DE TAMAULIPAS,38709789.87,40257671.89,x
Tamaulipas,2019,CA32,TRIBUNAL DE JUSTICIA ADMINISTRATIVA,29908260.63,31797601.63,x
Tamaulipas,2019,CA33,EMPRESAS DE PARTICIPACION ESTATAL MAYORITARIAS,50716539.07,245931321.95,x
Tamaulipas,2019,CATOT,TOTAL DEL GASTO,54933398535.00,65979014575.81,x
Tamaulipas,2020,CA1,HONORABLE CONGRESO DEL ESTADO,281860988.21,306761046.76,x
Tamaulipas,2020,CA2,HONORABLE SUPREMO TRIBUNAL DE JUSTICIA,892703141.76,929465506.27,x
Tamaulipas,2020,CA3,OFICINA DEL C. GOBERNADOR,193804544.10,193462317.00,x
Tamaulipas,2020,CA4,SECRETARIA GENERAL DE GOBIERNO,1351046892.69,1471522566.00,x
Tamaulipas,2020,CA5,SECRETARIA DE FINANZAS,3706500280.71,2650203801.00,x
Tamaulipas,2020,CA6,SECRETARIA DE ADMINISTRACION,1136068624.50,1587392263.00,x
Tamaulipas,2020,CA7,SECRETARIA DE DESARROLLO ECONOMICO,118064175.83,168657873.00,x
Tamaulipas,2020,CA8,SECRETARIA DEL TRABAJO,156662014.16,154042869.00,x
Tamaulipas,2020,CA9,SECRETARIA DE DESARROLLO RURAL,181950341.24,229919016.00,x
Tamaulipas,2020,CA10,SECRETARIA DE BIENESTAR SOCIAL,784264053.56,1141461740.00,x
Tamaulipas,2020,CA11,SECRETARIA DE EDUCACION,18481278663.42,19117794988.00,x
Tamaulipas,2020,CA12,SEC. DESARROLLO URBANO Y MEDIO AMBIENTE,105997640.82,131329015.00,x
Tamaulipas,2020,CA13,SECRETARIA DE OBRAS PUBLICAS,2949955491.78,3394789357.00,x
Tamaulipas,2020,CA14,SECRETARIA DE SEGURIDAD PUBLICA,2919450211.48,3392769960.00,x
Tamaulipas,2020,CA15,PROCURADURIA GENERAL DE JUSTICIA,1355548926.01,1319087623.00,x
Tamaulipas,2020,CA16,CONTRALORIA GUBERNAMENTAL,161388211.51,173219275.00,x
Tamaulipas,2020,CA17,COORDINACION DE COMUNICACION SOCIAL,270746643.09,394995388.00,x
